step,loss,trailing_mean,timestamp,source_line
1860,0.7147,0.7950200000000002,09-25 14:23:54,3324
1870,0.4573,0.7918450000000001,09-25 14:24:51,3333
1880,0.6291,0.75532,09-25 14:25:43,3342
1890,0.5274,0.7435950000000001,09-25 14:26:41,3351
1900,1.3177,0.743735,09-25 14:27:32,3360
1910,0.9406,0.74333,09-25 14:28:30,3369
1920,0.7951,0.746845,09-25 14:29:22,3378
1930,0.5989,0.7250250000000001,09-25 14:30:19,3387
1940,0.928,0.7464450000000001,09-25 14:31:13,3396
1950,0.8985,0.7698250000000001,09-25 14:32:09,3405
1960,0.4118,0.7645000000000001,09-25 14:33:02,3414
1970,1.0101,0.7862850000000001,09-25 14:33:59,3423
1980,0.3717,0.756475,09-25 14:34:51,3432
1990,0.4527,0.7335200000000001,09-25 14:35:49,3441
2000,0.4219,0.722485,09-25 14:38:20,3453
2010,0.6656,0.7161150000000001,09-25 14:39:11,3479
2020,0.6138,0.6902699999999999,09-25 14:40:02,3488
2030,0.7943,0.698145,09-25 14:41:01,3497
2040,0.4968,0.6903050000000001,09-25 14:41:52,3506
2050,0.4961,0.677105,09-25 14:42:51,3515
2060,0.3784,0.66029,09-25 14:43:42,3524
2070,0.4248,0.6586650000000001,09-25 14:44:41,3533
2080,1.2769,0.691055,09-25 14:45:33,3542
2090,0.6848,0.6989249999999998,09-25 14:46:31,3551
2100,0.6342,0.66475,09-25 14:47:22,3560
2110,0.9148,0.6634599999999999,09-25 14:48:20,3569
2120,0.3767,0.6425399999999999,09-25 14:49:12,3578
2130,1.397,0.682445,09-25 14:50:10,3587
2140,0.4745,0.65977,09-25 14:51:02,3596
2150,0.7333,0.65151,09-25 14:52:00,3605
2160,0.629,0.6623699999999999,09-25 14:52:52,3614
2170,0.396,0.631665,09-25 14:53:50,3623
2180,0.9629,0.661225,09-25 14:54:42,3632
2190,0.9702,0.6870999999999999,09-25 14:55:40,3641
2200,0.7688,0.704445,09-25 14:56:33,3650
2210,1.9327,0.7678,09-25 14:57:30,3672
2220,0.5449,0.764355,09-25 14:58:23,3681
2230,0.5473,0.752005,09-25 14:59:19,3690
2240,0.8509,0.76971,09-25 15:00:13,3699
2250,0.849,0.787355,09-25 15:01:10,3708
2260,0.3208,0.784475,09-25 15:02:03,3717
2270,0.4374,0.7851049999999999,09-25 15:03:00,3726
2280,0.6015,0.7513350000000001,09-25 15:03:53,3735
2290,0.4084,0.7375149999999999,09-25 15:04:51,3744
2300,1.5222,0.781915,09-25 15:05:43,3753
2310,0.8549,0.7789200000000001,09-25 15:06:41,3762
2320,1.541,0.837135,09-25 15:07:33,3771
2330,0.5747,0.7960200000000001,09-25 15:08:30,3780
2340,0.4426,0.7944250000000002,09-25 15:09:23,3789
2350,0.8146,0.79849,09-25 15:10:19,3798
2360,0.3922,0.7866500000000001,09-25 15:11:14,3807
2370,0.9151,0.8126050000000001,09-25 15:12:08,3816
2380,0.3208,0.7805000000000001,09-25 15:13:04,3825
2390,0.3659,0.7502850000000001,09-25 15:13:58,3834
2400,1.4679,0.78524,09-25 15:14:54,3843
2410,0.3288,0.7050449999999999,09-25 15:15:47,3865
2420,0.7218,0.7138899999999999,09-25 15:16:43,3874
2430,0.5753,0.71529,09-25 15:17:37,3883
2440,0.5861,0.7020500000000001,09-25 15:18:32,3892
2450,0.9391,0.706555,09-25 15:19:27,3901
2460,0.6651,0.72377,09-25 15:20:22,3910
2470,0.6273,0.7332650000000001,09-25 15:21:18,3919
2480,0.7209,0.7392350000000001,09-25 15:22:12,3928
2490,0.3784,0.737735,09-25 15:23:09,3937
2500,0.5009,0.6866699999999999,09-25 15:25:50,3949
2510,0.4894,0.668395,09-25 15:26:40,3961
2520,0.5785,0.6202699999999999,09-25 15:27:33,3970
2530,0.2982,0.606445,09-25 15:28:30,3979
2540,0.5648,0.612555,09-25 15:29:21,3988
2550,1.0897,0.62631,09-25 15:30:20,3997
2560,0.9409,0.653745,09-25 15:31:11,4006
2570,0.8443,0.6502049999999999,09-25 15:32:10,4015
2580,0.774,0.672865,09-25 15:33:01,4024
2590,1.1119,0.710165,09-25 15:34:00,4033
2600,0.636,0.66857,09-25 15:34:51,4042
2610,0.5774,0.6810000000000002,09-25 15:35:50,4064
2620,0.8968,0.6897500000000001,09-25 15:36:41,4073
2630,0.4735,0.68466,09-25 15:37:40,4082
2640,0.9247,0.7015900000000002,09-25 15:38:31,4091
2650,0.353,0.672285,09-25 15:39:30,4100
2660,0.3876,0.65841,09-25 15:40:21,4109
2670,0.6946,0.661775,09-25 15:41:20,4118
2680,0.6172,0.65659,09-25 15:42:11,4127
2690,1.0701,0.6911750000000001,09-25 15:43:10,4136
